age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back
42,1,1,1,58633.23,4886.1,0,0.21,578,16116.67,5,17.24,60,402.62,28,4,86242.85,65905.57,5,0,5,1
73,1,1,0,39383.19,3281.93,0,0.229,732,19078.95,2,12.79,60,432.06,14,3,30102.24,13122.81,2,0,2,1
22,0,2,2,40245.27,3353.77,0,0.113,564,9831.78,2,15.51,36,343.28,28,2,56819.25,41201.7,1,0,2,0
44,1,3,2,18875.14,1572.93,0,0.158,694,9607.62,1,12.14,36,319.75,14,5,25809.11,21463.92,4,0,5,1
64,1,0,4,70246.14,5853.84,0,0.1,440,8853.43,2,14.32,36,303.97,27,4,79490.56,59161.78,4,0,4,1
50,1,2,1,40422.15,3368.51,0,0.067,753,19415.58,2,11.79,36,642.93,9,6,65806.15,48129.85,2,1,2,1
58,0,0,3,19364.05,1613.67,2,0.14,619,18128.74,3,13.84,36,618.19,17,8,25883.17,15321.34,4,0,4,1
22,0,2,1,13220.54,1101.71,2,0.122,709,9692.3,2,13.68,36,329.76,11,6,23805.97,19098.49,2,0,3,1
41,1,1,1,16936.71,1411.39,0,0.425,705,18627.46,6,13.52,36,632.31,14,3,25978.62,15219.35,1,0,1,1
53,1,2,0,37957.37,3163.11,0,0.135,739,9656.48,1,8.71,36,305.77,10,4,46657.36,37539.24,2,0,3,1
32,1,2,1,7884.14,657.01,0,0.222,692,5772.28,0,12.26,36,192.44,10,9,18319.12,16782.77,0,0,1,1
42,0,1,0,18014.35,1501.2,0,0.212,702,11345.92,4,13.82,60,262.94,12,5,30467.37,27089.2,0,0,1,1
64,1,2,4,48453.69,4037.81,0,0.195,610,5285.92,0,10.52,60,113.67,17,1,32166.14,21365.3,5,0,7,1
45,0,2,3,27944.46,2328.7,2,0.132,553,6268.32,2,15.01,36,217.32,29,3,40793.67,23122.33,2,0,3,0
69,1,2,0,12516.84,1043.07,0,0.562,818,10469.04,2,10.09,36,338.25,1,6,20412.01,17283.32,3,0,3,1
47,1,2,0,24864.78,2072.06,0,0.111,629,6321.47,2,9.89,36,203.65,16,5,23358.63,18679.74,4,0,4,1
62,0,1,3,34248.84,2854.07,0,0.09,685,10673.12,2,11.68,36,352.87,10,7,45509.72,21928.41,0,1,1,0
48,1,2,0,63805.67,5317.14,0,0.199,657,22298.23,6,14.12,36,763.4,16,7,61717.59,54000.53,4,0,4,1
36,0,1,3,47699.49,3974.96,4,0.218,806,23171.53,2,7.34,36,719.08,3,5,75385.65,47058.83,3,0,5,0
35,1,2,4,46684.56,3890.38,0,0.101,717,13275.22,2,13.28,36,449.09,12,6,36244.87,9210.08,0,0,0,1
67,0,2,1,55926.72,4660.56,2,0.088,727,20613.2,2,13.75,60,476.97,11,4,77521.8,6832.02,0,0,2,1
71,0,2,1,13295.77,1107.98,0,0.117,623,13225.93,1,15.11,36,459.19,16,4,12599.76,8654.39,3,0,3,1
64,0,1,0,76626.81,6385.57,0,0.154,750,8606.43,0,11.97,36,285.73,5,8,115966.9,6219.9,3,0,4,1
75,1,2,2,76748.44,6395.7,1,0.163,759,2284.88,2,10.14,36,73.88,9,5,116481.63,42562.91,1,0,1,1
72,1,1,2,25153.1,2096.09,2,0.04,719,17789.74,5,14.53,36,612.6,13,5,40551.35,12079.77,2,0,2,1
23,1,2,0,6018.9,501.58,4,0.104,602,26387.55,2,16.3,36,931.62,22,5,9863.04,9349.22,0,0,1,0
57,0,1,1,80634.33,6719.53,2,0.241,693,22884.38,5,8.01,60,464.12,11,4,76328.19,53751.23,5,0,6,1
71,0,2,1,6969.14,580.76,0,0.206,727,23939.96,1,10.73,60,517.29,10,4,8478.63,496.35,4,0,5,1
27,1,1,3,45571.44,3797.62,0,0.143,714,8316.32,2,11.87,60,184.45,13,5,70307.77,9683.34,0,0,1,1
41,1,2,0,27707.6,2308.97,0,0.069,673,10351.45,2,14.6,36,356.81,14,8,35407.59,25604.13,2,0,2,1
29,0,2,0,25314.19,2109.52,0,0.107,608,21421.74,2,14.44,60,503.35,24,4,24710.54,7157.97,1,0,2,1
59,1,2,4,28021.38,2335.12,0,0.183,697,10606.79,6,12.62,36,355.45,13,7,33526.47,1683.26,3,0,3,0
38,1,2,2,39324.09,3277.01,0,0.171,593,15284.49,2,16.08,36,537.96,22,7,46987.9,15402.09,3,0,3,1
24,1,1,0,10032.47,836.04,0,0.098,643,19958.98,3,13.91,60,463.48,16,10,15232.58,1401.49,2,0,2,1
45,0,3,0,32388.96,2699.08,4,0.44,598,18787.69,2,17.06,36,670.39,22,6,40836.89,32116.05,4,0,4,0
34,0,2,2,15417.43,1284.79,0,0.09,665,500.0,6,13.79,36,17.04,16,7,26456.98,3470.3,4,0,7,1
70,2,1,0,26839.94,2236.66,0,0.039,658,33869.0,6,16.64,36,1201.46,15,4,38585.5,20053.96,2,0,3,1
29,1,2,0,40020.77,3335.06,0,0.073,655,23131.95,4,14.15,60,540.04,19,5,48608.42,3133.64,1,0,1,1
46,0,2,1,61428.94,5119.08,4,0.294,580,2855.15,5,12.38,36,95.35,20,5,40047.57,34659.95,3,0,4,0
73,0,2,2,23364.87,1947.07,0,0.098,785,19723.17,0,11.29,60,431.69,7,3,17727.96,2849.65,2,0,3,1
22,1,1,3,106317.95,8859.83,0,0.106,648,9020.84,2,14.01,36,308.35,17,6,90450.17,4818.95,1,0,3,1
40,0,2,3,21245.26,1770.44,2,0.358,652,17952.71,0,13.23,36,606.89,18,8,30292.09,14114.73,6,0,7,1
48,1,1,0,21576.38,1798.03,0,0.147,587,22296.51,3,15.06,36,773.57,20,4,19484.61,15244.96,2,0,3,1
67,1,2,0,67313.56,5609.46,0,0.097,605,5207.8,7,12.71,60,117.72,21,7,83247.84,78866.44,2,0,2,1
27,1,2,1,31299.21,2608.27,1,0.221,707,13459.01,2,13.32,36,455.56,14,6,50804.49,35883.45,1,0,1,1
64,1,2,0,40464.81,3372.07,4,0.165,791,22931.8,6,8.65,36,725.5,7,7,50221.45,28359.14,0,1,0,1
28,0,2,0,27080.78,2256.73,0,0.094,708,41679.04,0,11.1,60,908.28,11,2,34160.51,26050.45,1,0,2,1
67,1,2,2,29019.47,2418.29,2,0.319,682,12183.94,1,10.89,36,398.25,11,3,45826.67,31322.33,3,0,4,1
55,1,2,1,44794.43,3732.87,0,0.09,733,2044.83,0,10.44,36,66.4,14,4,47189.73,11009.78,1,0,1,1
34,1,2,0,77862.02,6488.5,0,0.052,662,6954.56,2,13.02,36,234.39,18,4,54523.53,38221.83,2,0,2,1
37,0,1,0,39502.26,3291.86,0,0.291,667,27060.87,7,14.72,36,934.37,16,7,55874.14,3656.01,4,1,6,1
56,0,2,1,46969.67,3914.14,0,0.033,732,17320.78,6,11.36,36,570.02,12,3,34070.61,10824.32,1,0,1,1
70,0,1,1,65446.1,5453.84,0,0.057,665,15303.67,1,11.86,36,507.28,19,3,60655.76,30859.15,3,0,3,1
60,0,2,0,27471.78,2289.32,2,0.075,798,30714.91,4,6.49,36,941.24,7,6,42637.75,16777.8,3,0,3,1
24,1,1,0,20180.13,1681.68,0,0.354,646,10419.48,2,10.43,60,223.59,17,8,27728.17,15539.42,3,0,3,1
22,1,2,0,19642.89,1636.91,0,0.085,645,20987.63,2,14.86,60,497.75,18,9,23777.34,11799.41,3,0,4,1
26,0,2,0,21341.14,1778.43,0,0.254,594,9605.16,6,14.35,36,329.92,20,9,27770.2,23301.94,2,0,2,1
74,1,3,1,19411.96,1617.66,0,0.118,686,11636.29,6,12.94,36,391.74,13,6,29245.95,13529.88,0,0,1,1
62,1,2,1,70252.63,5854.39,0,0.293,816,14260.74,5,7.82,36,445.7,2,5,88552.78,10801.64,2,0,3,1
24,0,1,1,11724.35,977.03,0,0.272,796,4185.81,4,7.13,36,129.49,9,4,12229.12,4101.02,2,0,2,1
74,1,1,1,51764.58,4313.72,0,0.2,714,3953.41,0,12.7,60,89.35,13,6,60246.37,3268.62,2,0,3,1
49,1,2,2,17412.33,1451.03,0,0.126,692,12889.65,2,15.25,36,448.4,14,2,14588.51,2282.6,2,0,2,1
38,1,0,1,106377.8,8864.82,0,0.135,575,10809.07,2,12.45,36,361.34,25,4,93921.55,44205.03,3,0,3,1
46,1,1,1,46235.93,3852.99,0,0.24,723,23461.16,5,7.59,36,730.76,11,6,34847.81,6069.86,1,0,1,1
64,0,1,1,21467.5,1788.96,0,0.096,632,4489.55,6,16.43,36,158.79,18,4,26864.2,16248.31,6,2,6,1
54,0,3,0,26239.21,2186.6,2,0.065,731,22433.03,4,9.6,36,719.65,12,3,19450.13,9693.8,2,0,3,1
30,0,1,0,34533.91,2877.83,0,0.252,746,15912.88,0,14.25,36,545.8,6,8,30213.25,13875.49,2,0,3,1
56,0,2,1,53177.17,4431.43,0,0.413,850,10942.58,4,11.09,36,358.71,2,5,33860.39,20911.03,3,0,4,1
34,1,1,1,44424.93,3702.08,0,0.145,661,17284.88,0,15.05,36,599.61,19,5,66695.67,46016.26,0,0,0,1
51,1,2,3,36023.0,3001.92,0,0.133,724,17092.49,2,10.05,60,363.59,14,1,44626.95,42350.14,2,0,2,1
68,1,2,4,23762.57,1980.21,1,0.179,726,8737.08,4,11.16,36,286.7,12,2,22467.31,21216.64,0,0,0,1
35,1,1,2,30518.71,2543.23,0,0.141,662,15806.45,6,14.32,60,370.42,18,1,38897.78,9318.21,3,0,3,1
28,2,0,1,81238.7,6769.89,1,0.116,726,12676.02,1,12.8,36,425.89,14,10,95993.99,20371.93,3,0,3,1
34,0,2,0,130197.44,10849.79,4,0.063,693,18042.75,6,11.53,36,595.24,11,3,165401.5,76121.42,1,0,2,1
43,1,1,0,70374.16,5864.51,1,0.119,722,26516.78,2,12.82,36,891.16,14,8,82886.3,43536.92,2,0,3,1
60,1,2,1,20462.01,1705.17,0,0.295,624,6709.69,4,15.0,36,232.59,19,5,16745.3,5389.47,2,0,3,1
41,1,2,0,85786.02,7148.84,0,0.102,580,10023.24,2,14.77,36,346.33,20,5,64606.93,50781.58,7,0,7,0
36,1,1,0,29780.08,2481.67,4,0.272,658,15067.38,2,12.46,36,503.77,17,2,28543.79,24712.6,5,0,5,0
65,1,0,0,36385.73,3032.14,1,0.239,667,24986.54,3,16.37,60,612.55,19,5,48293.63,22394.54,1,0,1,1
38,0,2,0,17028.66,1419.06,2,0.128,663,5745.56,1,9.16,60,119.72,19,1,14089.69,4339.74,0,0,0,1
67,0,2,0,38876.87,3239.74,0,0.382,615,20487.12,3,11.77,60,453.35,15,6,59399.96,19005.73,6,0,6,1
73,0,2,2,22673.3,1889.44,4,0.113,736,500.0,7,13.82,36,17.05,12,8,34360.55,2890.97,2,0,2,1
44,1,1,2,82896.06,6908.0,0,0.077,677,22705.0,2,12.9,60,515.45,12,2,77481.84,24865.82,1,0,2,1
46,1,2,0,167130.23,13927.52,4,0.267,804,26375.58,6,9.35,60,552.0,1,5,183155.12,12117.19,3,0,4,0
45,0,2,0,36280.64,3023.39,0,0.04,653,13374.14,0,13.56,36,454.24,15,4,44742.77,34166.82,1,0,2,1
65,0,1,2,48353.84,4029.49,0,0.139,754,11531.97,2,9.5,36,369.4,8,4,55296.81,19797.51,1,0,1,1
61,0,2,3,30193.1,2516.09,2,0.177,776,13049.15,6,11.68,36,431.43,6,5,21257.67,11193.84,0,0,1,1
49,0,2,0,39025.81,3252.15,2,0.101,638,21653.22,6,13.41,60,497.23,18,5,45509.05,21697.73,2,0,2,1
35,0,1,0,25469.37,2122.45,0,0.213,713,902.21,2,13.04,36,30.42,13,11,46160.12,37115.36,4,0,5,1
65,0,0,2,43773.89,3647.82,0,0.19,713,25948.79,3,10.74,60,560.83,12,7,46134.09,33901.16,2,0,2,1
21,1,0,0,46216.07,3851.34,0,0.053,580,9054.32,2,15.31,36,315.25,23,6,43173.83,2767.96,4,0,5,1
45,0,2,2,43446.12,3620.51,2,0.114,738,32992.76,2,11.77,36,1092.21,14,2,42260.9,21293.86,2,0,4,1
27,1,0,2,56839.29,4736.61,0,0.061,702,11700.41,2,11.53,36,386.0,10,3,75474.13,5677.84,2,1,7,1
29,1,1,2,29184.08,2432.01,2,0.01,631,6996.65,3,15.53,36,244.36,16,4,24219.14,14989.18,0,0,0,1
44,0,2,0,182390.52,15199.21,1,0.069,651,16438.26,2,13.71,60,380.02,19,8,191394.45,88584.82,2,0,3,1
21,1,1,1,24550.59,2045.88,3,0.468,680,17972.01,5,11.58,36,593.33,12,5,37601.82,11264.4,2,0,2,0
64,1,2,0,24397.07,2033.09,0,0.125,725,12732.53,1,11.55,36,420.17,12,1,27122.83,7160.96,1,0,2,1
28,1,1,1,8026.57,668.88,0,0.281,671,500.0,2,12.16,60,11.16,11,3,12118.92,4197.59,3,0,3,1
44,1,1,0,57257.11,4771.43,0,0.094,591,11414.78,0,14.9,36,395.14,23,3,72768.6,50462.17,1,0,3,1
31,1,1,2,6528.04,544.0,0,0.301,703,28674.36,2,16.5,60,704.95,13,3,10847.7,5992.38,0,0,0,1
71,1,2,0,29583.92,2465.33,2,0.036,661,35661.52,3,12.77,36,1197.63,19,7,49860.88,46503.47,4,0,5,1
37,1,1,1,23126.73,1927.23,0,0.24,685,40266.07,2,16.09,36,1417.43,13,5,22703.42,7463.51,5,0,6,0
28,1,2,0,15318.03,1276.5,0,0.085,697,14930.8,3,15.31,36,519.85,14,6,15816.69,8769.82,0,0,0,0
55,2,0,1,37737.86,3144.82,0,0.208,787,24161.05,3,10.13,60,514.9,7,5,55270.55,18158.03,1,0,1,1
55,1,1,2,104853.33,8737.78,0,0.199,580,14081.82,1,14.47,36,484.5,20,4,114548.03,19519.28,5,0,5,1
53,1,2,2,56273.32,4689.44,4,0.244,767,16836.33,1,12.55,36,563.64,8,5,86448.37,28158.83,0,0,1,0
25,0,2,2,22976.89,1914.74,0,0.049,748,20935.37,2,10.85,60,453.62,9,5,34351.47,13390.86,2,0,2,1
62,0,1,1,119860.8,9988.4,0,0.098,623,20671.31,2,9.65,36,663.61,17,4,170150.63,76822.0,1,0,2,1
59,0,1,1,23395.38,1949.62,0,0.043,760,17757.35,0,11.02,60,386.26,5,4,35729.24,31848.96,2,0,2,1
61,1,1,4,69993.32,5832.78,0,0.047,613,18166.22,3,13.94,36,620.35,18,4,78726.72,53894.97,1,0,2,1
48,0,2,1,12802.65,1066.89,4,0.197,713,17686.21,6,12.36,60,396.65,10,7,22636.41,5332.47,4,0,4,0
27,0,1,0,31591.34,2632.61,2,0.028,624,25134.1,2,14.64,60,593.2,17,6,42503.57,35038.75,1,0,3,1
29,0,2,2,17797.35,1483.11,0,0.233,672,7638.21,2,10.85,36,249.52,10,5,18506.03,15207.83,2,0,2,1
28,0,1,0,126308.04,10525.67,3,0.24,723,10559.42,2,11.22,36,346.8,12,8,132129.15,40592.19,4,0,5,0
32,0,0,0,23971.59,1997.63,0,0.185,694,10849.28,5,10.69,60,234.22,13,7,40822.55,30211.99,0,0,0,1
54,0,1,1,19680.97,1640.08,0,0.048,665,18419.66,2,12.09,36,612.59,18,7,34057.72,9232.0,1,0,2,1
53,0,2,3,48006.18,4000.52,2,0.187,692,21910.74,3,10.32,36,710.29,10,7,59243.34,34559.18,4,0,6,1
68,1,3,0,31263.87,2605.32,1,0.349,641,8325.04,2,14.87,36,288.06,19,2,25772.75,14372.85,5,0,6,1
75,0,2,1,131685.53,10973.79,4,0.4,677,500.0,3,9.11,36,15.93,14,10,146974.01,71521.54,3,0,3,0
43,0,1,0,43706.81,3642.23,0,0.191,710,30605.55,2,12.79,36,1028.13,12,3,57003.45,17797.96,2,0,3,1
44,1,1,1,37767.95,3147.33,0,0.205,730,15727.55,7,12.02,60,350.01,13,4,34031.43,18092.33,2,0,3,1
57,2,2,0,55952.16,4662.68,4,0.307,522,22775.29,1,13.49,36,772.78,29,7,47313.35,44290.09,4,0,6,0
55,1,2,0,31790.41,2649.2,4,0.097,729,9133.98,2,12.2,36,304.25,12,7,51085.86,15990.65,0,0,2,1
64,1,2,1,41889.24,3490.77,0,0.07,575,13429.31,5,15.86,36,471.21,27,8,42875.76,2857.69,3,0,3,1
60,0,1,1,21970.6,1830.88,3,0.13,669,17696.95,2,13.77,36,602.86,15,4,22972.57,12143.9,2,0,2,0
42,1,1,1,25006.4,2083.87,0,0.209,666,13980.08,2,10.93,36,457.23,16,6,29477.08,21255.53,3,0,4,0
47,1,1,1,20987.88,1748.99,0,0.067,533,10636.93,6,11.9,60,236.08,27,2,21867.47,6563.79,0,0,1,1
55,1,2,0,45897.46,3824.79,0,0.206,810,14204.0,6,11.04,60,309.11,3,8,52541.02,7091.68,4,0,5,1
21,1,1,2,24364.09,2030.34,0,0.046,633,7313.37,0,10.67,36,238.29,15,9,23793.91,22281.05,2,0,4,1
55,1,1,1,57979.19,4831.6,0,0.261,629,13254.56,1,11.96,60,294.57,18,5,39471.0,7133.06,0,0,0,0
57,1,2,1,21604.71,1800.39,4,0.01,850,3523.01,1,6.45,60,68.85,3,3,25346.6,11315.85,1,0,2,1
67,1,2,0,20329.27,1694.11,4,0.124,556,11670.94,2,14.24,36,400.25,29,6,16834.64,2439.02,2,0,3,0
34,2,2,0,41903.6,3491.97,0,0.018,673,13321.75,2,12.12,36,443.24,10,4,36750.32,16547.05,1,0,2,1
23,2,1,2,39463.41,3288.62,1,0.071,702,14200.63,0,7.34,36,440.69,10,2,36171.7,4237.42,2,0,3,1
21,1,1,3,60728.46,5060.7,1,0.296,674,9172.36,2,13.92,36,313.13,14,6,46604.94,14282.98,5,0,5,1
25,0,1,0,17864.88,1488.74,0,0.204,575,7827.92,2,14.64,36,269.98,26,3,27040.07,17294.38,3,2,3,1
46,1,1,1,14428.05,1202.34,4,0.247,630,13289.06,0,13.78,36,452.77,19,4,14417.15,4852.01,1,0,2,0
75,1,2,1,75333.37,6277.78,0,0.158,702,14285.8,2,11.79,36,473.06,13,5,78223.78,51872.95,2,0,2,1
34,1,1,1,16113.74,1342.81,0,0.19,745,15574.09,1,11.79,36,515.72,6,3,19793.11,9171.57,1,0,3,1
59,0,2,2,59746.5,4978.88,2,0.082,788,14432.59,1,10.93,60,313.3,5,7,52773.13,28746.75,4,0,4,1
47,0,1,0,8857.53,738.13,0,0.173,673,11581.36,5,11.9,36,384.11,13,4,9029.37,4735.24,2,0,2,1
29,1,2,1,51061.39,4255.12,0,0.116,740,9598.11,2,13.89,36,327.53,6,4,50566.47,18079.22,3,0,3,1
35,1,2,2,36071.68,3005.97,0,0.274,751,24719.93,2,10.54,36,803.92,6,6,48786.47,10166.8,1,0,1,0
35,1,1,2,46298.12,3858.18,4,0.096,762,26749.81,1,9.15,36,852.51,6,6,62200.04,36801.33,6,0,6,1
46,0,2,4,57551.55,4795.96,0,0.196,673,15596.14,2,13.65,60,360.07,12,6,37009.51,9612.28,1,0,1,1
62,0,1,1,64111.05,5342.59,0,0.107,703,17774.27,3,16.02,36,625.07,12,7,90089.01,26316.83,2,0,2,1
33,1,3,1,48002.32,4000.19,1,0.189,708,25727.88,3,11.01,60,559.51,14,2,51987.82,22592.25,2,0,4,1
71,0,1,1,59933.22,4994.44,1,0.174,708,8470.53,1,10.45,36,275.11,13,3,84833.15,48869.37,3,0,3,1
52,1,2,0,71240.27,5936.69,0,0.123,760,5661.45,7,7.97,36,177.33,6,4,45137.9,28820.19,0,1,1,1
59,0,2,0,78010.05,6500.84,0,0.33,673,7537.98,4,12.12,60,168.14,12,5,104519.18,87016.67,2,0,4,1
69,0,1,2,49570.48,4130.87,0,0.183,709,35531.62,0,9.57,36,1139.35,14,4,58663.28,43543.34,1,2,1,1
72,1,2,1,20571.32,1714.28,2,0.082,700,15518.16,1,12.62,60,350.07,13,7,35486.31,22404.15,0,0,0,1
52,0,1,0,31233.01,2602.75,1,0.029,592,12562.86,1,13.47,36,426.14,20,5,43079.32,37284.11,0,0,0,1
24,0,1,2,34216.61,2851.38,0,0.034,673,27535.96,2,8.91,36,874.48,11,5,50924.91,22154.73,1,1,1,1
50,1,1,1,24152.12,2012.68,0,0.046,734,32697.14,1,10.73,60,706.52,13,5,33113.13,3205.98,1,0,1,1
57,1,1,1,18255.3,1521.28,2,0.068,702,8302.32,1,10.36,36,269.3,11,8,33369.62,18978.33,1,0,1,1
43,0,2,0,63267.93,5272.33,2,0.364,580,2853.44,6,15.57,36,99.71,23,5,42623.04,6497.6,5,0,5,1
59,1,1,2,43485.0,3623.75,0,0.1,721,13430.74,2,11.02,36,439.83,14,5,30642.37,7341.72,4,0,4,1
65,1,1,3,24312.14,2026.01,0,0.09,721,8580.05,1,10.22,36,277.74,11,1,34579.2,24965.3,1,0,1,1
35,1,2,2,37146.25,3095.52,0,0.151,704,15169.04,6,13.76,60,351.07,13,6,24684.5,17115.22,4,0,4,1
63,0,2,2,43498.39,3624.87,2,0.084,776,33826.74,0,8.72,60,697.6,6,2,28534.88,17990.91,2,0,3,1
49,0,1,0,18176.02,1514.67,0,0.126,751,16153.24,6,10.3,36,523.5,6,3,13810.26,1215.09,1,0,1,1
56,0,1,1,22494.34,1874.53,0,0.117,641,7308.52,6,11.96,60,162.43,17,5,38192.02,26763.33,1,0,2,1
33,0,1,2,30079.2,2506.6,0,0.051,730,1584.44,2,14.43,36,54.48,13,0,24329.34,5618.75,2,0,2,1
52,1,1,3,33092.38,2757.7,3,0.106,768,9876.9,1,8.73,36,312.84,9,3,24932.07,17409.74,2,0,2,1
27,0,1,0,13945.69,1162.14,0,0.267,672,13767.29,5,13.17,36,465.0,13,2,11013.11,6508.75,3,0,4,0
71,0,1,0,56815.53,4734.63,0,0.246,755,1622.55,2,8.87,36,51.5,6,2,73342.4,67806.39,3,0,4,1
42,1,1,0,37001.92,3083.49,0,0.108,699,5730.12,2,8.42,36,180.67,11,5,30123.07,18992.65,1,0,1,1
48,1,2,3,31288.83,2607.4,0,0.237,601,500.0,5,9.66,60,10.54,21,4,25089.87,11868.89,1,0,3,1
22,1,2,1,23650.29,1970.86,0,0.279,580,21619.27,3,10.9,36,706.76,20,6,26652.56,23700.47,2,0,2,1
62,0,1,2,19772.06,1647.67,0,0.107,644,15876.01,6,12.54,36,531.41,16,5,29747.95,13625.89,0,0,4,1
65,0,1,2,36662.51,3055.21,0,0.256,611,24443.55,2,13.91,60,567.62,17,5,39367.32,22082.94,1,0,2,1
73,0,2,2,39917.29,3326.44,4,0.197,839,500.0,6,10.39,60,10.72,1,7,29595.3,7619.02,2,0,2,1
26,2,1,0,118391.5,9865.96,0,0.228,714,16994.57,3,11.25,36,558.39,13,3,86140.57,7418.29,3,0,4,1
48,1,2,3,124949.42,10412.45,2,0.277,611,14893.19,0,13.07,36,502.31,17,5,104566.23,88217.4,2,0,2,1
48,0,2,1,26356.3,2196.36,1,0.084,729,500.0,6,15.3,36,17.41,14,6,20854.65,6041.15,5,0,5,1
64,0,1,1,20430.19,1702.52,0,0.07,596,11047.84,5,11.44,36,364.0,22,9,28541.48,16211.5,1,0,2,1
64,1,2,0,16989.44,1415.79,3,0.082,601,15467.16,4,13.5,36,524.88,21,7,18223.76,7049.85,0,0,1,0
40,0,1,1,38279.19,3189.93,0,0.093,775,6153.63,1,11.1,60,134.1,5,7,28247.28,9957.6,1,0,2,1
50,1,0,0,17177.12,1431.43,0,0.279,570,500.0,4,17.92,36,18.06,26,1,24912.37,21811.24,2,0,2,1
31,0,0,1,15871.83,1322.65,4,0.091,714,23343.33,3,10.43,60,500.93,12,4,22166.62,15477.12,2,0,2,1
75,0,2,2,23373.61,1947.8,0,0.201,627,3728.03,2,12.05,36,123.91,15,6,30657.26,12432.73,2,0,2,1
48,0,1,0,25188.16,2099.01,0,0.059,675,32588.93,2,11.49,60,716.55,10,1,16001.42,14908.02,3,0,4,1
45,0,0,2,23290.47,1940.87,0,0.282,624,7666.46,2,13.74,60,177.35,16,6,23026.2,20988.31,4,0,4,0
59,1,2,1,13759.26,1146.6,4,0.252,588,28644.58,6,17.34,60,717.14,22,6,19293.43,2736.4,3,0,3,0
53,0,2,1,34386.77,2865.56,0,0.083,554,16725.89,2,14.85,60,396.59,28,7,50707.39,43336.01,3,0,3,1
21,1,0,1,34017.49,2834.79,0,0.06,768,24609.93,5,9.61,60,518.18,9,3,43434.96,3534.08,2,0,4,1
47,0,2,1,81034.65,6752.89,0,0.071,843,33152.69,1,8.04,60,672.85,0,4,78848.81,47930.66,1,0,2,1
72,0,0,1,17235.84,1436.32,0,0.317,774,10218.95,2,10.78,60,221.07,9,5,20195.44,1373.44,5,0,5,1
33,0,1,1,49807.86,4150.66,0,0.415,761,25042.35,2,12.67,36,839.8,8,2,62399.36,39220.31,4,0,4,1
61,1,2,0,105972.08,8831.01,0,0.22,646,8500.7,4,11.75,36,281.33,18,4,62952.44,45537.45,1,0,1,1
23,0,2,1,15154.65,1262.89,0,0.564,713,26282.16,2,12.3,36,876.71,12,3,25329.39,4584.61,0,0,0,1
59,0,2,0,18877.33,1573.11,1,0.372,575,16256.55,5,15.12,60,387.77,26,7,19656.97,6218.72,2,0,2,0
